method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,0,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029278674628585577,0.8500403026329281,0.8134961222327666,0.9970721325371414,0.8500403026329281,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618131324648857,0.8314714936072208,0.7771694236764831,0.9968381868675351,0.8314714936072208,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027054573874920607,0.8537040979653491,0.8127683130930019,0.9972945426125079,0.8537040979653491,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00258811516687274,0.8486833563118765,0.8491102742640739,0.9974118848331273,0.8486833563118765,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00258811516687274,0.8486833563118765,0.8491102742640739,0.9974118848331273,0.8486833563118765,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002665411215275526,0.8590303371448899,0.7909125126140097,0.9973345887847245,0.8590303371448899,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002665411215275526,0.8590303371448899,0.7909125126140097,0.9973345887847245,0.8590303371448899,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002665411215275526,0.8590303371448899,0.7909125126140097,0.9973345887847245,0.8590303371448899,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0028813621029257774,0.8520404038935298,0.7716052615362944,0.9971186378970742,0.8520404038935298,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029278674628585577,0.8500403026329281,0.8134961222327666,0.9970721325371414,0.8500403026329281,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
